C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/01/2020,19:00:00,REGULAR,0006543471,0001471511                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/01/2020,23:00:00,REGULAR,0006543683,0001471535                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/02/2020,03:00:00,REGULAR,0006543734,0001471541                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/02/2020,07:00:00,REGULAR,0006543744,0001471544                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/02/2020,11:00:00,REGULAR,0006543789,0001471574                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/02/2020,15:00:00,REGULAR,0006543952,0001471623                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/02/2020,19:00:00,REGULAR,0006544158,0001471666                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/02/2020,23:00:00,REGULAR,0006544303,0001471682                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/03/2020,03:00:00,REGULAR,0006544328,0001471686                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/03/2020,07:00:00,REGULAR,0006544337,0001471711                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/03/2020,11:00:00,REGULAR,0006544501,0001471851                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/03/2020,15:00:00,REGULAR,0006544697,0001471895                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/03/2020,19:00:00,REGULAR,0006545281,0001472012                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/03/2020,23:00:00,REGULAR,0006545509,0001472037                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/04/2020,03:00:00,REGULAR,0006545550,0001472041                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/04/2020,07:00:00,REGULAR,0006545563,0001472063                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/04/2020,11:00:00,REGULAR,0006545696,0001472201                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/04/2020,15:00:00,REGULAR,0006545858,0001472254                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/04/2020,19:00:00,REGULAR,0006546428,0001472332                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/04/2020,23:00:00,REGULAR,0006546658,0001472350                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/05/2020,03:00:00,REGULAR,0006546683,0001472354                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/05/2020,07:00:00,REGULAR,0006546696,0001472373                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/05/2020,11:00:00,REGULAR,0006546830,0001472507                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/05/2020,15:00:00,REGULAR,0006547014,0001472571                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/05/2020,19:00:00,REGULAR,0006547574,0001472671                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/05/2020,23:00:00,REGULAR,0006547808,0001472706                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/06/2020,03:00:00,REGULAR,0006547837,0001472707                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/06/2020,07:00:00,REGULAR,0006547849,0001472735                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/06/2020,11:00:00,REGULAR,0006547985,0001472897                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/06/2020,15:00:00,REGULAR,0006548168,0001472955                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/06/2020,19:00:00,REGULAR,0006548770,0001473017                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/06/2020,23:00:00,REGULAR,0006548999,0001473040                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/07/2020,03:00:00,REGULAR,0006549027,0001473046                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/07/2020,07:00:00,REGULAR,0006549043,0001473059                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/07/2020,11:00:00,REGULAR,0006549199,0001473172                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/07/2020,15:00:00,REGULAR,0006549404,0001473221                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/07/2020,19:00:00,REGULAR,0006549987,0001473280                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/07/2020,23:00:00,REGULAR,0006550248,0001473306                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/01/2020,03:00:00,REGULAR,0001351134,0005098513                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/01/2020,07:00:00,REGULAR,0001351138,0005098553                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/01/2020,11:00:00,REGULAR,0001351166,0005098841                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/01/2020,15:00:00,REGULAR,0001351255,0005099153                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/01/2020,19:00:00,REGULAR,0001351413,0005099453                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/01/2020,23:00:00,REGULAR,0001351498,0005099592                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/02/2020,03:00:00,REGULAR,0001351517,0005099628                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/02/2020,07:00:00,REGULAR,0001351521,0005099653                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/02/2020,11:00:00,REGULAR,0001351541,0005099837                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/02/2020,15:00:00,REGULAR,0001351594,0005100151                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/02/2020,19:00:00,REGULAR,0001351696,0005100460                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/02/2020,23:00:00,REGULAR,0001351780,0005100563                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/03/2020,03:00:00,REGULAR,0001351792,0005100590                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/03/2020,07:00:00,REGULAR,0001351794,0005100701                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/03/2020,11:00:00,REGULAR,0001351849,0005101532                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/03/2020,15:00:00,REGULAR,0001351924,0005101831                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/03/2020,19:00:00,REGULAR,0001352168,0005102501                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/03/2020,23:00:00,REGULAR,0001352285,0005102688                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/04/2020,03:00:00,REGULAR,0001352295,0005102712                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/04/2020,07:00:00,REGULAR,0001352296,0005102824                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/04/2020,11:00:00,REGULAR,0001352353,0005103766                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/04/2020,15:00:00,REGULAR,0001352432,0005104126                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/04/2020,19:00:00,REGULAR,0001352691,0005104778                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/04/2020,23:00:00,REGULAR,0001352806,0005104986                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/05/2020,03:00:00,REGULAR,0001352821,0005105011                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/05/2020,07:00:00,REGULAR,0001352823,0005105127                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/05/2020,11:00:00,REGULAR,0001352877,0005105992                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/05/2020,15:00:00,REGULAR,0001352973,0005106389                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/05/2020,19:00:00,REGULAR,0001353241,0005107087                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/05/2020,23:00:00,REGULAR,0001353363,0005107308                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/06/2020,03:00:00,REGULAR,0001353381,0005107321                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/06/2020,07:00:00,REGULAR,0001353388,0005107422                                            
